300.000	0.000
304.605	0.000
309.211	0.003
313.816	0.003
318.421	0.006
323.026	0.008
327.632	0.008
332.237	0.011
336.842	0.011
341.447	0.014
346.053	0.017
350.658	0.040
355.263	0.071
359.868	0.102
364.474	0.130
369.079	0.153
373.684	0.176
378.289	0.207
382.895	0.252
387.500	0.306
392.105	0.382
396.711	0.459
401.316	0.578
405.921	0.674
410.526	0.796
415.132	0.895
419.737	0.972
424.342	1.000
428.947	0.975
433.553	0.912
438.158	0.807
442.763	0.711
447.368	0.606
451.974	0.476
456.579	0.371
461.184	0.295
465.789	0.232
470.395	0.176
475.000	0.133
479.605	0.099
484.211	0.082
488.816	0.071
493.421	0.065
498.026	0.062
502.632	0.062
507.237	0.062
511.842	0.062
516.447	0.062
521.053	0.059
525.658	0.059
530.263	0.059
534.868	0.062
539.474	0.062
544.079	0.057
548.684	0.051
553.289	0.045
557.895	0.042
562.500	0.042
567.105	0.040
571.711	0.037
576.316	0.037
580.921	0.037
585.526	0.034
590.132	0.031
594.737	0.031
599.342	0.031
603.947	0.031
608.553	0.034
613.158	0.034
617.763	0.034
622.368	0.034
626.974	0.034
631.579	0.037
636.184	0.034
640.789	0.034
645.395	0.034
650.000	0.034
